1,Mercedes-Benz,C-Class,2011
2,Ford,Ranger,1993
3,GMC,Yukon XL 1500,2004
4,Ford,Probe,1994
5,Lincoln,Continental,1994
6,Subaru,Impreza,1996
7,GMC,Envoy XL,2003
8,Audi,5000S,1986
9,Acura,Integra,1995
10,Mitsubishi,Outlander,2009
11,Subaru,Alcyone SVX,1995
12,GMC,Sierra 1500,2002
13,Suzuki,Grand Vitara,2005
14,Ford,Escort,1993
15,GMC,Savana 2500,2012
16,Ford,Econoline E250,2002
17,Mazda,RX-8,2010
18,Volkswagen,GTI,1997
19,Subaru,Legacy,2009
20,Jeep,Grand Cherokee,1994
21,Ford,Taurus,1988
22,Ford,Crown Victoria,2004
23,Saab,9-7X,2009
24,Pontiac,Safari,1988
25,Toyota,Venza,2011
26,Ford,Bronco II,1988
27,Audi,Q5,2011
28,Nissan,Xterra,2002
29,Eagle,Talon,1995
30,Volkswagen,Cabriolet,1999
31,Ford,F350,2003
32,Dodge,Avenger,1997
33,Honda,Ridgeline,2009
34,Ford,F-Series,2004
35,Mercedes-Benz,CL-Class,2007
36,Toyota,MR2,2003
37,GMC,Yukon XL 1500,2003
38,Chevrolet,Avalanche,2007
39,Kia,Rio,2007
40,Chrysler,Aspen,2007
41,Ferrari,612 Scaglietti,2006
42,Ford,LTD,1984
43,Audi,A6,2000
44,Toyota,Corolla,1997
45,Saturn,Aura,2009
46,Honda,Accord,2002
47,Ford,Expedition,2010
48,GMC,Envoy XL,2006
49,Ford,Excursion,2005
50,Dodge,Caravan,2006
51,Scion,tC,2008
52,Pontiac,GTO,1974
53,Chrysler,300M,2001
54,Hyundai,Tucson,2009
55,Pontiac,Firebird,1999
56,Mitsubishi,Eclipse,1992
57,Saab,900,1990
58,Dodge,Durango,2000
59,Chevrolet,Astro,1997
60,Saab,9-3,2000
